Region,Panorama,Recreation Type,Target Prediction (y)
Kab. Badung,Beach,Photo Spot,Tegal Wangi Beach
Kab. Badung,Beach,Water Sports,Geger Beach
Kab. Badung,Beach,Sunbathing,Karma Kandara Beach
Kab. Badung,River / Waterfall,Swimming,Nungnung Waterfall
Kab. Badung,Urban,Photo Spot,The Abandoned Airplane
Kab. Badung,Urban,Restaurant,Natys Restaurants Seminyak
Kab. Bangli,Mountain,Trekking,Mountain Abang
Kab. Bangli,River / Waterfall,Photo Spot,Bangkian Djaran Waterfall
Kab. Bangli,Urban,Restaurant,The Amora Bali
Kab. Bangli,rice paddy / estate,Photo Spot,Pantunan Valley
Kab. Bangli,Mountain,Trekking,Batur Mountain
Kab. Bangli,River / Waterfall,Swimming,Tibumana Waterfall
Kab. Buleleng,River / Waterfall,Trekking,Gitgit Waterfall
Kab. Buleleng,rice paddy / estate,Photo Spot,Rice Terrace Ambengan
Kab. Buleleng,Beach,Photo Spot,Lovina Beach
Kab. Buleleng,rice paddy / estate,Photo Spot,Busungbiu Rice Terace
Kab. Buleleng,Urban,Museum,Gedong Kartya Museum
Kab. Buleleng,Mountain,Photo Spot,Wanagiri Peak
Kab. Gianyar,Mountain,Photo Spot,Ubud Monkey Forest
Kab. Gianyar,Mountain,Trekking,Ubud Monkey Forest
Kab. Gianyar,River / Waterfall,Photo Spot,Goa Rang Reng Waterfall
Kab. Gianyar,rice paddy / estate,Outbound Rides,Alas Harum Tourism
Kab. Gianyar,Beach,Water Sports,Keramas Beach
Kab. Gianyar,Urban,Museum,Museum Blanco Renaissance
Kab. Gianyar,rice paddy / estate,Life as villager,Bali Bird Park
Kab. Jembrana,River / Waterfall,Water Sports,Medewi Beach
Kab. Jembrana,Beach,Swimming,Cendikusuma Beach
Kab. Jembrana,Beach,Swimming,Blod Berawah Beach
Kab. Jembrana,River / Waterfall,Swimming,Yeh Embang Kangin Waterfall
Kab. Jembrana,River / Waterfall,Photo Spot,Grojongan Waterfall
Kab. Jembrana,Mountain,Photo Spot,Bunut Bolong
Kab. Jembrana,Urban,Landmark,Pura Majapahit
Kab. Karangasem,Beach,Water Sports,Bias Tugel Beach
Kab. Karangasem,Mountain,Photo Spot,Savana Tianyar
Kab. Karangasem,Mountain,Photo Spot,Bukit Cinta Viewpoint
Kab. Karangasem,Mountain,Photo Spot,Lahangan Sweet
Kab. Karangasem,Beach,Swimming,Jemeluk Beach
Kab. Karangasem,River / Waterfall,Swimming,Jakasatru Waterfall
Kab. Karangasem,Urban,Photo Spot,Sukasada Garden
Kab. Klungkung,Beach,Swimming,May Day Gili
Kab. Klungkung,Urban,Museum,Semarajaya Museum
Kab. Klungkung,Urban,Landmark,Mundi Temple Peak
Kab. Klungkung,Mountain,Trekking,Caruban Peak
Kab. Klungkung,rice paddy / estate,Life as villager,Wisata Bakas Village
Kab. Klungkung,River / Waterfall,Photo Spot,Tukad Unda Dam
Kab. Tabanan,River / Waterfall,Photo Spot,Leke Leke Waterfall
Kab. Tabanan,Urban,Souvenir,Teman Joger Luwus
Kab. Tabanan,rice paddy / estate,Photo Spot,Terasering Soka 
Kab. Tabanan,rice paddy / estate,Outbound Rides,The Sila's Agrotourism
Kab. Tabanan,Beach,Photo Spot,Soka Beach
Kab. Tabanan,Mountain,Photo Spot,Batukaru Mountain
Kota Denpasar,Urban,Souvenir,Krisna Oleh-oleh Bali Nusakambangan
Kota Denpasar,Beach,Sunbathing,Ku De Ta Beach
Kota Denpasar,Beach,Photo Spot,Cemara Beach
Kota Denpasar,Urban,Photo Spot,Badung Beach
Kota Denpasar,River / Waterfall,Photo Spot,Tukad Loloan Sanur
Kota Denpasar,rice paddy / estate,Life as villager,Sea Turtle Conversation and Education Center
